,wantedauthno,company,busino,title,saltpnm,sal,minsal,maxsal,region,holidaytpnm,minedubg,maxedubg,career,regdt,closedt,infosvc,wantedinfourl,wantednobileinfourl,zipcd,strtnmcd,basicaddr,detailaddr,emptpcd,jobscd,smodifydtm,prefcd
551,K140022012100058,푸른초장공공도서관,5038268145,사서선생님 모집공고,월급,190만원 ~ 190만원,1900000,1900000,대구 달서구,주6일근무,대졸(4년),,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140022012100058,,704220,272902007002,대구광역시 달서구 달구벌대로 973,,20,413201,202012101752,
552,K151422012100070,비지팅엔젤스,2088003660,[성포동] 방문요양보호사 구인,시급,11000원 ~ 11000원,11000,11000,경기 안산시 상록구,주6일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151422012100070,,15294,412713190071,경기도 안산시 상록구 충장로 446,9동,11,550104,202012101752,
553,K131312012100051,태운,6151721241,영업(물류) 관리 모집 합니다.(납품 및 영업관리...,월급,240만원,2400000,0,경남 김해시,주5일근무,고졸,,신입,20-12-10,20-12-24,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K131312012100051,,621881,482504805070,경상남도 김해시 진례면 고모로324번길 135-41,135-41  태운(진례면 담안리 1224번지),10,624103,202012101752,13
554,K140132012100048,샤브향옥곡점,1073796652,홀서빙  및  계산원 채용,월급,230만원 ~ 230만원,2300000,2300000,경북 경산시,주6일근무,학력무관,,관계없음,20-12-10,20-12-30,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140132012100048,,38688,472904739544,경상북도 경산시 옥실길 2-8,2층 샤브향,10,532200,202012101752,12
555,K141412012100017,신안동아모레특약점,5080173173,아모레 경리 및 서무직 구합니다.,월급,160만원,1600000,0,경북 안동시,주5일근무,고졸,,관계없음,20-12-10,채용시까지  20-12-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K141412012100017,,760300,471703018013,경상북도 안동시 경동로 289,2층,10,027200,202012101752,12|13
556,KJLQ002012100001,다원식품(주),5178800700,생산직,시급,8590원,8590,0,강원 홍천군,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJLQ002012100001,,25107,427204475659,강원도 홍천군 남면 흥성길 107,,10,872900,202012101751,
557,K140132012100047,대원금속주식회사,5158143704,"대원금속(주) 생산, 검사파트 산업기능요원 보충역...",시급,8590원,8590,0,경북 경산시,주5일근무,고졸,,관계없음,20-12-10,20-12-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140132012100047,,38474,472903313091,경상북도 경산시 진량읍 공단5로 66,대원금속주식회사,10,823101,202012101751,13
558,K140142012100027,주식회사범우,5028187614,"홈페이지(카페24) 기획 관리,SNS콘텐츠 제작관...",월급,200만원,2000000,0,대구 북구,주5일근무,대졸(2~3년),,관계없음,20-12-10,20-12-24,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140142012100027,,41475,272303018037,대구광역시 북구 호국로 251,3F 강남센터 (주) 범우,10,133302,202012101751,12|13
559,K131312012100050,태운,6151721241,생산관리사무원 모집(생산 자재 관리),월급,230만원,2300000,0,경남 김해시,주5일근무,학력무관,,관계없음,20-12-10,20-12-24,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K131312012100050,,621881,482504805070,경상남도 김해시 진례면 고모로324번길 135-41,135-41  태운(진례면 담안리 1224번지),10,028402,202012101750,13
560,K161132012100051,푸른전력(유),4028146929,태양광발전시설 안전관리(대리급)경력자 모집,연봉,3600만원,36000000,0,전북 전주시 완산구,주5일근무,대졸(2~3년),,경력,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K161132012100051,,560901,451113266020,전라북도 전주시 완산구 마전들로 77,"(효자동3가, 3층)",10,153107,202012101750,
561,K161222012100018,주식회사 삼부,4018150207,특장차 조립생산 직원 채용,연봉,2200만원,22000000,0,전북 김제시,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-01-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K161222012100018,,576150,452104616461,전라북도 김제시 서흥공단2길 38,,10,817100,202012101754,
562,K152412012100035,(주)열두광주리,6828701156,베이커리 팀 제과·제빵사 채용 공고(신입&경력),월급,180만원,1800000,0,강원 횡성군,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K152412012100035,,25210,427303000145,강원도 횡성군 횡성읍 경강로 1571,열두광주리,10,871100,202012101749,
563,K140022012100057,미래인재교육원(주),5148195096,달서구진로진학지원센터에서 근무할 연구원을 모집합니...,연봉,2800만원 ~ 2800만원,28000000,28000000,대구 달서구,주5일근무,대졸(4년),,경력,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140022012100057,,42838,272903146015,대구광역시 달서구 상화로 272,LH경북지역본부 1층 달서구진로진학지원센터,20,215100,202012101748,
